여행ID,숙소명,숙박경비순번,숙소유형코드,예약여부,체크인시간,체크아웃시간,소비인원,사업자등록번호,상호명,도로명주소,지번주소,도로명코드,지번코드,결제일식,결제방식,결제금액,소비내역
d_d009418,지금여기에,0,3,Y,2022/11/03 0:00,2022/11/05 0:00,2,,,제주특별자치도 제주시 한림읍 금능길 79,제주특별자치도 제주시 한림읍 금능리 1420,,,,1,180540,
d_d001126,코델리아S호텔,0,1,Y,2022/09/08 0:00,2022/09/11 0:00,2,,,제주특별자치도 서귀포시 성산읍 일주동로 4186,제주특별자치도 서귀포시 성산읍 오조리 990-1,,,,,0,
d_d001360,휘슬락호텔,0,1,Y,2022/09/15 0:00,2022/09/16 0:00,2,,,제주특별자치도 제주시 서부두2길 26,제주특별자치도 제주시 건입동 1443-2,,,,1,121520,
d_d001574,애월스테이인제주,1,1,Y,2022/10/04 0:00,2022/10/05 0:00,4,2208115770,나이스정보통신㈜,,,,,2022/08/20 0:00,1,135720,AEWOL STAY IN JEJU
d_d002671,그림그리는펜션,1,11,Y,2022/10/02 0:00,2022/10/03 0:00,4,,에어비앤비,,,,,2022/09/24 18:53,1,80870,집/아파트전체.침대1개게스트3명
d_d005954,더베스트제주성산,1,1,Y,2022/10/14 0:00,2022/10/16 0:00,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/13 17:32,1,122400,더 베스트 제주 성산
d_d009068,살강스테이,0,3,Y,2022/10/28 0:00,2022/10/30 0:00,2,,,제주특별자치도 제주시 한경면 고산남8길 16,,,,,1,240000,
d_d001917,메종글래드제주,1,1,Y,2022/10/11 0:00,2022/10/12 0:00,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/11 0:00,1,96000,메종 글래드 제주 
d_d007947,해비치호텔앤드리조트 제주,0,1,Y,2022/10/31 0:00,2022/11/01 0:00,4,,,제주특별자치도 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리 40-69,,,,5,300000,
d_d002961,유러하우스펜션,2,3,Y,2022/10/15 0:00,2022/10/16 0:00,1,8248102515,주식회사인터파크,서울 강남구 삼성로 512,,3122005,1168010500,2022/10/13 20:24,1,78120,제주 유러 오션뷰스테이
d_d009826,소노벨 제주,1,4,Y,2022/10/30 0:00,2022/10/31 0:00,4,,SONOHOTELS&RESORTS,서울 송파구 법원로 135,서울 송파구 문정동 641-3,3350849,1171010800,2022/10/30 18:47,1,276000,숙박비
d_d004068,미르빌펜션&리조트,1,4,Y,2022/10/15 0:00,2022/10/16 0:00,4,8158100527,나이스페이먼츠 주식회사,서울 마포구 마포대로 217,서울 마포구 아현동 686,2113001,1144010100,2022/10/14 23:22,1,75620,
d_d000964,롯데시티호텔 제주,0,1,Y,2022/08/28 0:00,2022/08/31 0:00,1,,,제주특별자치도 제주시 도령로 83,제주특별자치도 제주시 연동 2324-6,,,,3,400000,
d_d010186,타기모텔,1,2,Y,2022/10/29 0:00,2022/10/30 0:00,1,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022/10/28 0:06,1,31900,MO-제주TAGI - 더블
d_d005567,제주게스트하우스,0,7,Y,2022/10/19 0:00,2022/10/20 0:00,2,,,제주특별자치도 제주시 용화로10길 14,제주특별자치도 제주시 용담이동 639-3,,,,1,40000,
d_d001728,쇠소깍 휴양펜션 엘마르,0,3,Y,2022/09/27 0:00,2022/09/28 0:00,3,,,제주특별자치도 서귀포시 쇠소깍로 138,제주특별자치도 서귀포시 하효동 996-1,,,,1,160000,
d_d002485,씨오르리조트,0,4,Y,2022/10/11 0:00,2022/10/12 0:00,2,,,제주특별자치도 서귀포시 이어도로 989,제주특별자치도 서귀포시 법환동 87-1,,,,1,88000,
d_d001280,파르나스호텔 제주,1,1,Y,2022/09/12 0:00,2022/09/13 0:00,2,6948501932,파르나스호텔(주),제주특별자치도 서귀포시 중문관광로72번길 100,,4850763,5013011900,2022/09/12 16:30,1,488700,숙박비
a_a004897,갯벌놀이펜션,1,3,Y,2022/10/22 0:00,2022/10/23 0:00,9,2218127833,(주)펜션뱅크,강원 춘천시 경춘로 2364,강원 춘천시 온의동 513-3,3000120,4211012100,2022/09/19 8:25,1,250000,"개나리_단체,복층"
d_d000537,아트스테이함덕비치,0,1,Y,2022/08/23 0:00,2022/08/24 0:00,2,,,제주특별자치도 제주시 조천읍 조함해안로 504,제주특별자치도 제주시 조천읍 함덕리 1269-19,,,,2,173210,
d_d001533,삼달리참꽃네,0,3,Y,2022/10/01 0:00,2022/10/02 0:00,2,,,제주특별자치도 서귀포시 성산읍 삼달로 66,제주특별자치도 서귀포시 성산읍 삼달리 103-16,,,,1,150000,
d_d005903,비케이호텔인제주,10,1,,,,3,6163062002,비케이호텔인제주,제주특별자치도 서귀포시 칠십리로91번길 12,제주특별자치도 서귀포시 서귀동 777-1,4850892,5013010100,2022/10/24 17:38,1,32000,호텔비
d_d000799,하이제주호텔,0,1,Y,2022/08/26 0:00,2022/08/28 0:00,1,,,제주특별자치도 제주시 한림읍 일주서로 5125,제주특별자치도 제주시 한림읍 협재리 1165,,,,5,236800,
d_d002251,인피니티리조트,1,4,Y,2022/10/02 0:00,2022/10/03 0:00,5,,티포트,,,,,2022/10/04 0:00,1,520000,리조트 인피니티 E동 오션패밀리...
a_a002744,장경리해수욕장야영장,0,5,Y,2022/10/01 0:00,2022/10/02 0:00,4,,,인천 옹진군 영흥면 영흥로757번길 6,인천 옹진군 영흥면 내리 1626-48,,,,1,70000,
d_d001878,모든날이행복하기를,0,7,Y,2022/10/16 0:00,2022/10/17 0:00,1,,,제주특별자치도 서귀포시 남원읍 태신로 22,제주특별자치도 서귀포시 남원읍 태흥리 568,,,,4,90000,
d_d003398,브라운스위트제주 호텔앤리조트,1,1,Y,2022/10/23 0:00,2022/10/24 0:00,2,,호텔스닷컴,,,,,,1,101075,"프리미엄 스위트, 시내 전망"
d_d001588,동촌하우스,0,7,Y,2022/09/24 0:00,2022/09/26 0:00,2,,,제주특별자치도 제주시 구좌읍 종달논길 61-4,,,,,5,230000,
b_b003100,르솔레이풀빌라펜션,1,3,Y,2022/08/21 0:00,2022/08/23 0:00,3,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022/08/06 0:00,1,598000,402호
d_d002138,호텔52,0,1,Y,2022/10/25 0:00,2022/10/26 0:00,4,,,제주특별자치도 서귀포시 대정읍 신영로36번길 35,제주특별자치도 서귀포시 대정읍 하모리 1089-23,,,,1,90000,
d_d002155,더스테이센추리호텔,0,1,Y,2022/09/28 0:00,2022/09/29 0:00,1,,,제주특별자치도 제주시 애월읍 일주서로 7113,제주특별자치도 제주시 애월읍 하귀1리 544-2,,,,5,200000,
c_c007909,쏠비치 진도,1,4,Y,2022/10/23 0:00,2022/10/24 0:00,2,,SONO HOTELS & RESORTS,서울 송파구 법원로 135,서울 송파구 문정동 641-3,3350849,1171010800,2022/10/24 11:08,1,158000,객실료 스위트(클린)
d_d010634,산방산에펜션,0,3,Y,2022/11/06 0:00,2022/11/07 0:00,2,,,제주특별자치도 서귀포시 안덕면 사계북로41번길 151,제주특별자치도 서귀포시 안덕면 사계리 1125,,,,1,60000,
d_d001367,애월 파티하는오누게스트하우스,0,7,Y,2022/09/23 0:00,2022/09/24 0:00,1,,,제주특별자치도 제주시 애월읍 애월로2길 7,제주특별자치도 제주시 애월읍 애월리 2147-6,,,,5,60000,
d_d011264,서귀포월드컵리조트,0,4,Y,2022/11/05 0:00,2022/11/07 0:00,4,,,제주특별자치도 서귀포시 월드컵로45번길 40,제주특별자치도 서귀포시 법환동 982,,,,1,130000,
d_d002821,벼리게스트하우스,0,7,Y,2022/10/16 0:00,2022/10/18 0:00,1,,,제주특별자치도 제주시 구좌읍 면수1길 27,제주특별자치도 제주시 구좌읍 하도리 3205,,,,5,68000,
d_d001783,에벤에셀호텔,1,1,Y,2022/10/09 0:00,2022/10/10 0:00,4,2208115770,나이스정보통신㈜,,,,,2022/10/07 0:00,1,127500,EBENEZER HOTEL
d_d000285,이금돈지,1,1,N,2022/08/19 0:00,2022/08/19 0:00,6,6162435182,이금돈지,제주특별자치도 제주시 노연로 143,제주특별자치도 제주시 연동 293-44,3349041,5011013700,2022/08/19 15:22,1,121000,
d_d003100,제주사진집,1,7,Y,2022/10/04 0:00,2022/10/05 0:00,1,,제주도조용한게스트하우스제주사진집,제주특별자치도 서귀포시 안덕면 일주서로 1613-83,제주특별자치도 서귀포시 안덕면 화순리 1369-5,3349236,5013031021,2022/10/04 0:00,3,30000,제주사진집 여성2인실
d_d001624,휘닉스제주섭지코지 힐리우스,1,4,Y,2022/09/24 0:00,2022/09/26 0:00,11,7428600224,(주)위드이노베이션,,,,,2022/05/20 1:04,1,226570,HO-크로플 세트사계절 온
d_d001827,스위트호텔제주,10,1,,,,2,8888502007,(주)교원프라퍼티스위트호텔,제주특별자치도 서귀포시 중문관광로72번길 67,제주특별자치도 서귀포시 색달동 2812-10,4850763,5013011900,2022/10/13 14:04,1,22500,호텔비
b_b000151,일마레펜션,2,3,Y,2022/08/25 0:00,2022/08/26 0:00,2,,남해일마레펜션 정책,경남 남해군 창선면 동부대로 2790-13,경남 남해군 창선면 당항리 240,2343002,4884039023,2022/08/22 0:07,1,85000,펜션비
d_d001818,봄그리고가을리조트,1,4,Y,2022/10/13 0:00,2022/10/14 0:00,7,,봄그리고가을호텔앤리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,제주특별자치도 서귀포시 성산읍 시흥리 208,3349242,5013025923,2022/10/01 3:01,1,184970,리조트비
d_d009772,호텔스테이현,1,1,Y,2022/10/31 0:00,2022/11/01 0:00,3,,제주호텔 스테이현,제주특별자치도 제주시 관덕로8길 7-12,,4847168,5011010300,2022/10/31 15:00,1,100000,비지니스 스위트 트윈
d_d004753,쉼게스트하우스,1,7,Y,2022/10/31 0:00,2022/11/01 0:00,2,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022/10/15 20:47,1,70000,
d_d008228,제주호텔더엠,1,1,Y,2022/10/29 0:00,2022/10/30 0:00,4,5148601477,주식회사제주호텔더엠,제주특별자치도 서귀포시 태평로353번길 14,,4850953,5013010100,2022/10/29 18:25,1,37315,호텔숙박비
a_a001459,더위크앤 리조트,1,4,Y,2022/08/27 0:00,2022/08/28 0:00,3,,더위크앤리조트,인천 중구 용유서로 379,인천 중구 을왕동 773,3149033,2811014900,2022/04/16 0:00,1,418000,리조트비
d_d000251,그랜드하얏트제주,0,1,Y,2022/08/23 0:00,2022/08/24 0:00,2,,,제주특별자치도 제주시 노연로 12,제주특별자치도 제주시 노형동 925,,,,1,437000,
c_c001002,케렌시아리조트펜션,1,3,Y,2022/09/08 0:00,2022/09/09 0:00,2,,여수케렌시아리조트,전남 여수시 화양면 화양로 1527-32,전남 여수시 화양면 용주리 1426-14,3282084,4613033022,2022/08/17 6:51,1,120000,리조트비
d_d000672,성산아쿠아비치호텔,0,1,Y,2022/08/21 0:00,2022/08/22 0:00,1,,,제주특별자치도 서귀포시 성산읍 일주동로 4258,제주특별자치도 서귀포시 성산읍 고성리 1090-16,,,,1,44000,
d_d007467,서머셋 제주신화월드,0,4,Y,2022/10/29 0:00,2022/10/30 0:00,5,,,,제주특별자치도 서귀포시 안덕면 서광리 산 24-15,,,,4,1000000,
d_d009694,제주스테이인성산,1,1,Y,2022/11/03 0:00,2022/11/05 0:00,2,6168623928,주식회사해비치인,제주특별자치도 서귀포시 성산읍 신고로 11,제주특별자치도 서귀포시 성산읍 고성리 496-2,3350177,5013025924,2022/11/03 18:05,1,135000,
d_d000481,회사 복지 시설,0,3,Y,2022/09/08 0:00,2022/09/09 0:00,4,,,,,,,,4,60000,
d_d001610,오션스위츠 제주호텔,0,1,Y,2022/10/01 0:00,2022/10/04 0:00,4,,,제주특별자치도 제주시 탑동해안로 74,제주특별자치도 제주시 삼도2동 1260-1,,,,1,450000,
d_d009301,제주디아일랜드블루호텔,2,1,Y,2022/11/01 0:00,2022/11/02 0:00,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/25 0:00,1,85000,제주 디아일랜드 블루
d_d002431,동문취향 게스트하우스,2,7,Y,2022/10/16 0:00,2022/10/17 0:00,1,,제주동문취향게스트하우스,제주특별자치도 제주시 관덕로15길 4,제주특별자치도 제주시 일도일동 1477-2,4847161,5011010100,2022/09/23 10:01,1,33000,1인실 (더블룸)
d_d000802,섬게스트하우스,0,7,Y,2022/08/20 0:00,2022/08/21 0:00,1,,,제주특별자치도 서귀포시 칠십리로 61-1,제주특별자치도 서귀포시 서귀동 673-28,,,,1,21000,
d_d001976,서귀포KAL호텔,0,1,N,2022/10/17 0:00,2022/10/17 0:00,1,,,제주특별자치도 서귀포시 칠십리로 242,제주특별자치도 서귀포시 토평동 486-3,,,,,0,
b_b006175,선배집,0,10,Y,2022/10/01 0:00,2022/10/02 0:00,8,,,퇴로리 174,,,,,,0,
d_d004957,골든튤립제주성산호텔,1,1,Y,2022/10/17 0:00,2022/10/18 0:00,3,,N호텔 제휴 시크릿몰,,,,,,1,89575,골든튤립 제주성산호텔
d_d010639,곽지로온,1,7,Y,2022/11/04 0:00,2022/11/06 0:00,1,5994001183,곽지로온,제주특별자치도 제주시 애월읍 곽납로 62-19,제주특별자치도 제주시 애월읍 곽지리 852-1,3349014,5011025337,2022/11/04 18:34,1,80000,
d_d005299,한라산게스트하우스,0,7,Y,2022/10/28 0:00,2022/10/29 0:00,1,,,제주특별자치도 제주시 제주대학로 77,제주특별자치도 제주시 아라일동 358-9,,,,5,84000,
d_d004502,제부도 디앤와이펜션,1,3,Y,2022/10/15 0:00,2022/10/16 0:00,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/05 17:19,3,96000,화성(제부도)디앤와이관광펜션
d_d002308,유니호텔 앤 풀빌라,0,1,Y,2022/10/09 0:00,2022/10/11 0:00,5,,,제주특별자치도 제주시 애월읍 애월해안로 656,제주특별자치도 제주시 애월읍 구엄리 1216,,,,2,1240000,
d_d002348,스타즈호텔 제주로베로,1,1,Y,2022/10/13 0:00,2022/10/14 0:00,1,,스타즈호텔제주,제주특별자치도 제주시 관덕로 26,제주특별자치도 제주시 삼도이동 57-2,3349016,5011010600,2022/09/20 15:13,1,44100,
d_d001379,해변산책,0,3,Y,2022/09/08 0:00,2022/09/09 0:00,2,,,제주특별자치도 제주시 애월읍 곽지9길 7,제주특별자치도 제주시 애월읍 곽지리 1622-29,,,,1,80000,
d_d009822,갤러리호텔비앤비,1,1,Y,2022/11/05 0:00,2022/11/06 0:00,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/11/02 14:33,1,32000,갤러리 호텔 비앤비
d_d001560,새왓댁 1호점,1,8,Y,2022/09/30 0:00,2022/10/02 0:00,6,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022/05/30 0:00,1,640000,새왓댁STAY
d_d000290,호텔시리우스,0,1,Y,2022/08/21 0:00,2022/08/22 0:00,3,,,제주특별자치도 제주시 도령로 133,제주특별자치도 제주시 연동 2334-4,,,,1,104949,
d_d001513,티라호텔,1,1,Y,2022/09/28 0:00,2022/09/29 0:00,5,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/09/10 22:06,1,127690,제주 성산 티라 호텔
d_d003393,간세게스트하우스,0,7,Y,2022/10/09 0:00,2022/10/10 0:00,1,,,제주특별자치도 제주시 서광로 278,제주특별자치도 제주시 이도2동 1781-5,,,,1,20000,
d_d003989,또시오라,0,3,Y,2022/10/14 0:00,2022/10/15 0:00,2,,,제주특별자치도 제주시 서해안로 446-2,제주특별자치도 제주시 용담삼동 2400-13,,,,1,100000,
a_a002495,웨스턴그레이스호텔,1,1,Y,2022/10/02 0:00,2022/10/03 0:00,3,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022/09/20 20:44,1,134180,GRACE SUITE HOTEL 패밀리트윈(오션뷰)
d_d002221,돌랑채,1,11,Y,2022/10/04 0:00,2022/10/05 0:00,2,,AIRBNB,,,,,2022/09/15 22:20,1,339922,
d_d002545,아루미호텔 협재점,0,1,Y,2022/10/02 0:00,2022/10/03 0:00,2,,,제주특별자치도 제주시 한림읍 한림로 545,,,,,1,108896,
d_d003589,호텔엘린,0,1,Y,2022/10/05 0:00,2022/10/07 0:00,2,,,제주특별자치도 제주시 은남1길 4,제주특별자치도 제주시 연동 292-32,,,,1,88690,
d_d003531,한라산게스트하우스,0,7,Y,2022/10/10 0:00,2022/10/11 0:00,2,,,제주특별자치도 제주시 제주대학로 77,제주특별자치도 제주시 아라일동 358-9,,,,5,69009,
d_d001229,애월 오션스테이,0,3,Y,2022/09/17 0:00,2022/09/18 0:00,1,,,,,,,,1,84800,
d_d002426,코업시티호텔 성산,1,1,Y,2022/10/31 0:00,2022/11/01 0:00,2,2118841856,주식회사티몬,서울 강남구 테헤란로 114,,3122010,1168010100,2022/09/26 0:00,1,87120,[즉시할인+딜쿠폰][서귀포시]코업시티호텔성산
d_d002558,위드스테이호텔,1,1,Y,2022/10/01 0:00,2022/10/02 0:00,3,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022/08/23 16:00,1,66000,위드스테이호텔
d_d001727,우도머뭄,1,7,Y,2022/10/29 0:00,2022/10/30 0:00,2,,우도머뭄,제주특별자치도 제주시 우도면 조일길 44,제주특별자치도 제주시 우도면 연평리 156-1,4848714,5011033021,2022/10/29 0:00,1,110000,소소리(여성2인실)
d_d001763,랜딩관 제주신화월드호텔앤리조트,0,1,Y,2022/09/28 0:00,2022/09/30 0:00,1,,,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,,,,1,322000,
d_d005571,헤이서귀포,1,1,Y,2022/11/05 0:00,2022/11/06 0:00,2,2208101733,(주)다우데이타,서울 마포구 독막로 311,서울 마포구 염리동 168-9,3113005,1144010900,2022/11/04 14:51,1,36450,
d_d000784,미도호스텔,1,7,Y,2022/08/20 0:00,2022/08/21 0:00,2,,미도호스텔 ,제주특별자치도 서귀포시 동문동로 13-1,제주특별자치도 서귀포시 서귀동 258-2,3350064,5013010100,2022/08/20 0:00,1,50000,여성8인실(조식+제주수제맥주포함)
d_d009986,미도호스텔,0,7,Y,2022/11/04 0:00,2022/11/05 0:00,2,,,제주특별자치도 서귀포시 동문동로 13-1,제주특별자치도 서귀포시 서귀동 258-2,,,,1,66000,
d_d001626,샤모니리조트,1,4,Y,2022/09/22 0:00,2022/09/24 0:00,3,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/09/18 9:08,1,117000,제주샤모니리조트
d_d000840,호텔윈스토리,1,1,Y,2022/08/27 0:00,2022/08/28 0:00,3,,서귀포 호텔 원스토리,제주특별자치도 서귀포시 중정로 1,,3350254,5013010100,2022/08/13 0:00,1,78000,호텔숙박비 패밀리 트윈(룸온리)
b_b002960,거제돔관광호텔,0,1,Y,2022/08/19 0:00,2022/08/20 0:00,4,,,경남 거제시 일운면 거제대로 2372,경남 거제시 일운면 지세포리 481-6,,,,1,106000,
d_d001647,더비비스제주,0,4,Y,2022/09/28 0:00,2022/09/29 0:00,1,,,제주특별자치도 서귀포시 이어도로 760,제주특별자치도 서귀포시 강정동 2479-4,,,,1,79000,
d_d001083,십이계절게스트하우스,0,7,Y,2022/09/03 0:00,2022/09/04 0:00,1,,,제주특별자치도 서귀포시 표선면 민속해안로 32,제주특별자치도 서귀포시 표선면 세화리 200-1,,,,1,50000,
d_d003819,호텔 케니 서귀포,1,1,Y,2022/10/08 0:00,2022/10/09 0:00,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/05 16:45,1,36000,호텔 캐니 서귀포
d_d012299,라임모텔,3,2,Y,2022/11/11 0:00,2022/11/12 0:00,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/11/07 0:00,3,37740,
d_d003062,파르나스호텔제주,10,1,,,,1,,파르나스호텔제주,제주특별자치도 서귀포시 중문관광로72번길 100,,4850763,5013011900,2022/10/05 10:32,1,74000,호텔비
d_d001598,나인부띠끄호텔,2,1,Y,2022/10/01 0:00,2022/10/02 0:00,4,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022/10/03 0:00,1,73000,디럭스룸온리(나인)-3
d_d007600,애월970스테이,1,11,Y,2022/10/27 0:00,2022/10/31 0:00,6,,에어비앤비,,,,,2022/09/22 21:54,1,1032833,집/아파트 전체.침대 6개.게스트 6명
d_d003169,라마다제주시티호텔,0,1,Y,2022/10/10 0:00,2022/10/11 0:00,2,,,제주특별자치도 제주시 중앙로 304,제주특별자치도 제주시 이도이동 1025-8,,,,1,85800,
d_d000218,한화리조트 제주,0,4,Y,2022/08/25 0:00,2022/08/28 0:00,2,,,제주특별자치도 제주시 명림로 575-107,제주특별자치도 제주시 회천동 3-16,,,,,0,
d_d009693,플레이스캠프제주,1,4,Y,2022/11/05 0:00,2022/11/07 0:00,1,1148725295,아고다페이먼트코리아유한회사,,,,,2022/10/30 2:20,1,278452,
d_d000396,호텔스테이현,0,1,Y,2022/08/25 0:00,2022/08/27 0:00,1,,,제주특별자치도 제주시 관덕로8길 7-12,제주특별자치도 제주시 이도일동 1371-2,,,,1,96000,
d_d001424,백패커스홈,0,7,Y,2022/09/16 0:00,2022/09/17 0:00,4,,,제주특별자치도 서귀포시 중정로 24,제주특별자치도 서귀포시 서귀동 315-2,,,,5,116000,
d_d002363,비치스토리호텔,1,1,Y,2022/10/03 0:00,2022/10/04 0:00,1,,비치스토리호텔,제주특별자치도 제주시 조천읍 조함해안로 492-5,제주특별자치도 제주시 조천읍 함덕리 1252-10,3349182,5011025924,2022/10/03 16:56,1,47200,호텔비
d_d000770,파크사이드호텔,2,1,Y,2022/08/27 0:00,2022/09/04 0:00,1,2208115770,나이스정보통신㈜,제주특별자치도 제주시 도령로 126,,3349052,5011013700,2022/09/03 0:00,1,29273,제주 파크사이드호텔 디럭스 트윈
d_d004465,노마드인제주,1,7,Y,2022/10/11 0:00,2022/10/12 0:00,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/10 0:00,3,25000,노마드인제주 게스트하우스
d_d000819,상상나무키즈펜션,0,3,Y,2022/08/24 0:00,2022/08/25 0:00,3,,,번영로 2587-17,,,,,1,139000,
b_b008111,거제덴바스타료칸호텔,1,1,Y,2022/10/30 0:00,2022/10/31 0:00,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/10 21:20,1,420000,거제 덴바스타 료칸호텔
d_d000746,메리어트관 제주신화월드호텔앤리조트,1,1,Y,2022/09/06 0:00,2022/09/07 0:00,2,6168609829,람정제주개발 주식회사,제주특별자치도 서귀포시 안덕면 녹차분재로 217,,3349232,5013031027,2022/09/04 0:00,1,214370,3.메리어트관 A.디럭스 킹(최대 성인2인+소인1인까지 투숙가능) B.객실+2인조식+소인조식무료
d_d000583,월령코지펜션,0,3,Y,2022/08/29 0:00,2022/08/30 0:00,2,,,제주특별자치도 제주시 한림읍 월령3길 39-22,제주특별자치도 제주시 한림읍 월령리 344,,,,1,62314,
d_d007452,펜션,0,3,Y,2022/10/24 0:00,2022/10/26 0:00,4,,,,,,,,1,500000,
d_d002193,에코랜드 호텔,2,1,Y,2022/10/08 0:00,2022/10/09 0:00,3,6168140053,㈜더원,제주특별자치도 제주시 조천읍 번영로 1278-169,제주특별자치도 제주시 조천읍 대흘리 1221-1,3349234,5011025926,2022/10/08 14:53,1,66000,
d_d007374,코지하우스&투어,1,3,Y,2022/10/25 0:00,2022/10/26 0:00,1,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/25 19:22,1,39000,제주코지하우스앤투어
d_d000112,펠리체펜션,0,3,N,2022/08/13 0:00,2022/08/14 0:00,4,,,제주특별자치도 서귀포시 안덕면 사계북로 117,제주특별자치도 서귀포시 안덕면 사계리 1585,,,,1,145000,
d_d002773,그랜드조선 제주,1,1,Y,2022/10/24 0:00,2022/10/25 0:00,3,5458501722,(주)조선호텔앤리조트그랜드조선제주,제주특별자치도 서귀포시 중문관광로72번길 60,,4850763,5013011900,2022/10/24 16:05,1,433174,
d_d004065,월정리썬시티 게스트하우스,0,7,Y,2022/10/15 0:00,2022/10/16 0:00,3,,,제주특별자치도 제주시 구좌읍 월정5길 33,제주특별자치도 제주시 구좌읍 월정리 243,,,,5,150000,
d_d009475,달비치펜션,0,3,Y,2022/11/02 0:00,2022/11/03 0:00,1,,,제주특별자치도 제주시 구좌읍 해맞이해안로 474,제주특별자치도 제주시 구좌읍 월정리 13,,,,1,111781,
d_d001648,벤티모호텔앤레지던스,0,1,Y,2022/09/24 0:00,2022/09/25 0:00,5,,,제주특별자치도 제주시 연삼로 14,제주특별자치도 제주시 연동 290-3,,,,5,205920,
d_d007793,코쿤호텔 애월,0,1,Y,2022/10/25 0:00,2022/10/26 0:00,2,,,제주특별자치도 제주시 애월읍 중엄3길 50,제주특별자치도 제주시 애월읍 신엄리 920,,,,1,90909,
d_d001558,호텔징크,0,1,Y,2022/09/22 0:00,2022/09/23 0:00,2,,,제주특별자치도 서귀포시 중정로 11,제주특별자치도 서귀포시 서귀동 318-17,,,,1,46520,
b_b003774,아모르가족펜션&와이키키,0,3,Y,2022/09/10 0:00,2022/09/11 0:00,5,,,경남 거제시 장목면 옥포대첩로 1117-4,경남 거제시 장목면 외포리 524,,,,5,210000,
d_d010109,타마라 제주,1,1,Y,2022/11/01 0:00,2022/11/04 0:00,2,,타마라 제주,제주특별자치도 서귀포시 김정문화로41번길 10-8,제주특별자치도 서귀포시 법환동 745-2,4850055,5013010200,2022/10/29 23:13,1,120000,호텔비 
b_b000565,서부산농협 황금노을,0,3,Y,2022/08/12 0:00,2022/08/13 0:00,4,,,경남 거제시 사등면 가조로 756-40,경남 거제시 사등면 창호리 1165-19,,,,,0,
d_d002264,오르다하우스,0,7,Y,2022/10/22 0:00,2022/10/23 0:00,1,,,제주특별자치도 제주시 중앙로 192,제주특별자치도 제주시 이도일동 1789-3,,,,5,43000,
d_d006801,퓨어스테이,0,2,Y,2022/10/30 0:00,2022/10/31 0:00,4,,,제주특별자치도 제주시 신대로 68,제주특별자치도 제주시 연동 301-3,,,,1,60000,
d_d000802,또랑게스트하우스,0,7,Y,2022/08/19 0:00,2022/08/20 0:00,1,,,제주특별자치도 제주시 한북로 338,제주특별자치도 제주시 아라일동 1955-3,,,,1,27000,
d_d001606,성산스테이션,0,7,Y,2022/10/01 0:00,2022/10/02 0:00,1,,,제주특별자치도 서귀포시 성산읍 성산중앙로 43,제주특별자치도 서귀포시 성산읍 성산리 181-1,,,,5,24900,
d_d007188,스물셋,1,11,Y,2022/10/28 0:00,2022/10/30 0:00,2,,에어비앤비,,,,,2022/10/11 13:33,1,184847,집/아파트전체.침대1개.게스트2명
